,Book Name,Author Name
0,How to Read a Book,Mortimer J. Adler 
1,This Is a Book,Demetri Martin 
2,HTML5 for Web Designers,Jeremy Keith 
3,Hey Ladies!,Michelle Markowitz 
4,A History of Russian Music,Francis Maes 
5,This is Not a Book,Keri Smith 
6,Venice,David Sanderson Chambers 
7,How to Cook Without a Book,Pam Anderson 
8,A Geography of Victorian Gothic Fiction,Robert Mighall 
9,A European Memory?,Małgorzata Pakier 
10,A Grammar of the Turkish Language,Thomas Vaughan 
11,A History of Modern Chinese Fiction,Chih-tsing Hsia 
12,A Concise History of Photography,Helmut Gernsheim 
13,Peace As a Women's Issue,Harriet Hyman Alonso 
14,Reports from a Wild Country,Deborah Bird Rose 
15,Company K,William March 
16,Bollywood,Tejaswini Ganti 
17,"A Journal of a Voyage to the South Seas, in His Majesty's Ship, the Endeavou",Sydney Parkinson 
18,New World A-Coming,Judith Weisenfeld 
19,A Handbook of Research Methods for Clinical and Health Psychology,Jeremy Miles 
20,A Holocaust Reader,Lucy S. Dawidowicz 
21,I Am Peace,Susan Verde 
22,Letters to a Young Doctor,Richard Selzer 
23,A Book of Luminous Things,Czesław Miłosz 
24,Gilgamesh,John R. Maier 
25,A Man's Place,John Tosh 
26,The Americans at D-Day,John C. McManus 
27,A Sourcebook on Naturalist Theatre,C. D. Innes 
28,A History of Africa: African nationalism and the de-colonisation process,Assa Okoth 
29,A Few Good Men,Jan Nattier 
30,I Am a Taxi,Deborah Ellis 
31,A History of Hungary,Peter F. Sugar 
32,What Is a Case?,Charles C. Ragin 
33,Qatar,Allen James Fromherz 
34,The Video Game Explosion,Mark J. P. Wolf 
35,A Cycle of Outrage,James Gilbert 
36,A Festival of Violence,Stewart Emory Tolnay 
37,We Are in a Book! (An Elephant and Piggie Book),no name 
38,A Comics Studies Reader,Jeet Heer 
39,A Discipline Divided,Gabriel A. Almond 
40,P-51 Mustang Pilot's Flight Manual,Periscope Film Com 
41,A Little Matter of Genocide,Ward Churchill 
42,A Companion to Greek Religion,Daniel Ogden 
43,The Berenstains' B Book,Stan Berenstain 
44,"My ""b"" Book",Jane Belk Moncure 
45,Plan B,Charnan Simon 
46,A = B,Marko Petkovsek 
47,Getting to Plan B,John Mullins 
48,Option B,Sheryl Sandberg 
49,Liszt: Sonata in B Minor,Kenneth Hamilton 
50,B for Berea,Tom Chase 
51,B for Business,William Cullen 
52,B is for Books! (Sesame Street),Annie Cobb 
53,From A to B,Bonang Matheba 
54,The Story of B,Daniel Quinn 
55,C Programming for Arduino,Julien Bayle 
56,A History of Travancore from the Earliest Times,P. Shungoonny Menon 
57,Junie B. Jones #26: Aloha-ha-ha!,Barbara Park 
58,Junie B. Jones #18: First Grader (at last!),Barbara Park 
59,The B-Book,J. R. Abrial 
60,Molecular Biology of B Cells,Tasuku Honjo 
61,General Relativity from A to B,Robert Geroch 
62,New Wave Mental Maths: Book B,no name 
63,B Cell Protocols,Hua Gu (PhD.) 
64,Numerical Algorithms with C,Giesela Engeln-Müllges 
65,Molecular Biology of the Hepatitis B Virus,Alan McLachlan 
66,J.K. Lasser's Winning With Your 403(b),Pam Horowitz 
67,"""B"" Is for Betsy",Carolyn Haywood 
68,Junie B. Jones #17: Junie B. Jones Is a Graduation Girl,Barbara Park 
69,Myth and the African Universe,B. Abanuka 
70,The B-2 Spirit,E. E. Basmadjian 
71,Bach: Mass in B Minor,John Butt 
72,B-17 Groups of the Eighth Air Force,Martin Bowman 
73,B Cell Biology in Autoimmunity,David Ahmad Nemazee 
74,The Hammond Organ,Mark Vail 
75,The B-1 Lancer,Amy Sterling Casil 
76,Hepatitis B Research Advances,Alicia P. Willis 
77,GCSE Geography for AQA Specification B,Janet Helm 
78,Illustrated C Programming (ANSI),J. Emmett Beam 
79,C++ For Dummies,Stephen R. Davis 
80,"Hepatitis B: The Virus, the Disease and the Vaccine",Irving Millman 
81,"The C Book, Featuring the ANSI C Standard",Mike Banahan 
82,Programming In C,D Ravichandran 
83,Computer Concepts and Programming in C,A.P.Godse 
84,Programming in C,Stephen G. Kochan 
85,COMPUTER PROGRAMMING IN C,V. RAJARAMAN 
86,Berenstains' C Book,Stan Berenstain 
87,A First Course in Programming with C,T. Jeyapoovan 
88,C Programming Language,Brian W. Kernighan 
89,Practical C Programming,Steve Oualline 
90,MECHANICS OF MATERIALS,M. A. JAYARAM 
91,"Programming in C, 2/e",no name 
92,Programming In C: A Practical Approach,Ajay Mittal 
93,Programming Embedded Systems in C and C++,Michael Barr 
94,Computer Concepts and C Programming,P.B. Kotur 
95,C Programming for Scientists and Engineers with Applications,Rama Reddy 
96,"My ""C"" Book",Jane Belk Moncure 
97,C Language And Numerical Methods,C. Xavier 
98,C Programming Concepts: With Prob & Sol,Chhabra 
99,C Programming: Test Your Skills,Kamthane Ashok 
100,Numerical Recipes in C,William H. Press 
101,C Magazine,no name 
102,C by Example,Noel Kalicharan 
103,Mastering C Programs,J.B. Dixit 
104,Engaged Learning for Programming in C++,Jim Roberge 
105,Pointers on C,Kenneth A. Reek 
106,Expert C Programming,Peter van der Linden 
107,COMPUTER BASICS AND C PROGRAMMING,V. RAJARAMAN 
108,C for BASIC Programmers,T. D. Brown 
109,C. elegans,Ian A. Hope 
110,Encyclopedia C,Robert A. Radcliffe 
111,Beginning C,Ivor Horton 
112,"D-Modules, Perverse Sheaves, and Representation Theory",Ryoshi Hotta 
113,Nineteen Sermons on several occasions ... To which is prefix'd the author's ,John ROGERS (Canon of Wells.) 
114,C Programming: The Essentials for Engineers and Scientists,David R. Brooks 
115,Schaum's Outline of Programming with C,Byron S Gottfried 
